ageGroup,sex,stroke,distance,time,country
25-29,male,freestyle,100,65,domestic
25-29,male,freestyle,200,140,domestic
25-29,male,freestyle,400,300,domestic
25-29,male,backstroke,100,70,domestic
25-29,male,backstroke,200,150,domestic
25-29,male,breaststroke,100,75,domestic
25-29,male,breaststroke,200,160,domestic
25-29,male,butterfly,100,70,domestic
25-29,male,butterfly,200,155,domestic
25-29,female,freestyle,100,75,domestic
25-29,female,freestyle,200,160,domestic
25-29,female,freestyle,400,340,domestic
25-29,female,backstroke,100,80,domestic
25-29,female,backstroke,200,170,domestic
25-29,female,breaststroke,100,85,domestic
25-29,female,breaststroke,200,180,domestic
25-29,female,butterfly,100,80,domestic
25-29,female,butterfly,200,175,domestic
30-34,male,freestyle,100,68,domestic
30-34,male,freestyle,200,145,domestic
30-34,male,freestyle,400,310,domestic
30-34,male,backstroke,100,73,domestic
30-34,male,backstroke,200,155,domestic
30-34,male,breaststroke,100,78,domestic
30-34,male,breaststroke,200,165,domestic
30-34,male,butterfly,100,73,domestic
30-34,male,butterfly,200,160,domestic
30-34,female,freestyle,100,78,domestic
30-34,female,freestyle,200,165,domestic
30-34,female,freestyle,400,350,domestic
30-34,female,backstroke,100,83,domestic
30-34,female,backstroke,200,175,domestic
30-34,female,breaststroke,100,88,domestic
30-34,female,breaststroke,200,185,domestic
30-34,female,butterfly,100,83,domestic
30-34,female,butterfly,200,180,domestic
35-39,male,freestyle,100,71,domestic
35-39,male,freestyle,200,150,domestic
35-39,male,freestyle,400,320,domestic
35-39,male,backstroke,100,76,domestic
35-39,male,backstroke,200,160,domestic
35-39,male,breaststroke,100,81,domestic
35-39,male,breaststroke,200,170,domestic
35-39,male,butterfly,100,76,domestic
35-39,male,butterfly,200,165,domestic
35-39,female,freestyle,100,81,domestic
35-39,female,freestyle,200,170,domestic
35-39,female,freestyle,400,360,domestic
35-39,female,backstroke,100,86,domestic
35-39,female,backstroke,200,180,domestic
35-39,female,breaststroke,100,91,domestic
35-39,female,breaststroke,200,190,domestic
35-39,female,butterfly,100,86,domestic
35-39,female,butterfly,200,185,domestic
40-44,male,freestyle,100,74,domestic
40-44,male,freestyle,200,155,domestic
40-44,male,freestyle,400,330,domestic
40-44,male,backstroke,100,79,domestic
40-44,male,backstroke,200,165,domestic
40-44,male,breaststroke,100,84,domestic
40-44,male,breaststroke,200,175,domestic
40-44,male,butterfly,100,79,domestic
40-44,male,butterfly,200,170,domestic
40-44,female,freestyle,100,84,domestic
40-44,female,freestyle,200,175,domestic
40-44,female,freestyle,400,370,domestic
40-44,female,backstroke,100,89,domestic
40-44,female,backstroke,200,185,domestic
40-44,female,breaststroke,100,94,domestic
40-44,female,breaststroke,200,195,domestic
40-44,female,butterfly,100,89,domestic
40-44,female,butterfly,200,190,domestic
45-49,male,freestyle,100,77,domestic
45-49,male,freestyle,200,160,domestic
45-49,male,freestyle,400,340,domestic
45-49,male,backstroke,100,82,domestic
45-49,male,backstroke,200,170,domestic
45-49,male,breaststroke,100,87,domestic
45-49,male,breaststroke,200,180,domestic
45-49,male,butterfly,100,82,domestic
45-49,male,butterfly,200,175,domestic
45-49,female,freestyle,100,87,domestic
45-49,female,freestyle,200,180,domestic
45-49,female,freestyle,400,380,domestic
45-49,female,backstroke,100,92,domestic
45-49,female,backstroke,200,190,domestic
45-49,female,breaststroke,100,97,domestic
45-49,female,breaststroke,200,200,domestic
45-49,female,butterfly,100,92,domestic
45-49,female,butterfly,200,195,domestic
50-54,male,freestyle,100,80,domestic
50-54,male,freestyle,200,165,domestic
50-54,male,freestyle,400,350,domestic
50-54,male,backstroke,100,85,domestic
50-54,male,backstroke,200,175,domestic
50-54,male,breaststroke,100,90,domestic
50-54,male,breaststroke,200,185,domestic
50-54,male,butterfly,100,85,domestic
50-54,male,butterfly,200,180,domestic
50-54,female,freestyle,100,90,domestic
50-54,female,freestyle,200,185,domestic
50-54,female,freestyle,400,390,domestic
50-54,female,backstroke,100,95,domestic
50-54,female,backstroke,200,195,domestic
50-54,female,breaststroke,100,100,domestic
50-54,female,breaststroke,200,205,domestic
50-54,female,butterfly,100,95,domestic
50-54,female,butterfly,200,200,domestic
55-59,male,freestyle,100,83,domestic
55-59,male,freestyle,200,170,domestic
55-59,male,freestyle,400,360,domestic
55-59,male,backstroke,100,88,domestic
55-59,male,backstroke,200,180,domestic
55-59,male,breaststroke,100,93,domestic
55-59,male,breaststroke,200,190,domestic
55-59,male,butterfly,100,88,domestic
55-59,male,butterfly,200,185,domestic
55-59,female,freestyle,100,93,domestic
55-59,female,freestyle,200,190,domestic
55-59,female,freestyle,400,400,domestic
55-59,female,backstroke,100,98,domestic
55-59,female,backstroke,200,200,domestic
55-59,female,breaststroke,100,103,domestic
55-59,female,breaststroke,200,210,domestic
55-59,female,butterfly,100,98,domestic
55-59,female,butterfly,200,205,domestic
60-64,male,freestyle,100,86,domestic
60-64,male,freestyle,200,175,domestic
60-64,male,freestyle,400,370,domestic
60-64,male,backstroke,100,91,domestic
60-64,male,backstroke,200,185,domestic
60-64,male,breaststroke,100,96,domestic
60-64,male,breaststroke,200,195,domestic
60-64,male,butterfly,100,91,domestic
60-64,male,butterfly,200,190,domestic
60-64,female,freestyle,100,96,domestic
60-64,female,freestyle,200,195,domestic
60-64,female,freestyle,400,410,domestic
60-64,female,backstroke,100,101,domestic
60-64,female,backstroke,200,205,domestic
60-64,female,breaststroke,100,106,domestic
60-64,female,breaststroke,200,215,domestic
60-64,female,butterfly,100,101,domestic
60-64,female,butterfly,200,210,domestic
65-69,male,freestyle,100,89,domestic
65-69,male,freestyle,200,180,domestic
65-69,male,freestyle,400,380,domestic
65-69,male,backstroke,100,94,domestic
65-69,male,backstroke,200,190,domestic
65-69,male,breaststroke,100,99,domestic
65-69,male,breaststroke,200,200,domestic
65-69,male,butterfly,100,94,domestic
65-69,male,butterfly,200,195,domestic
65-69,female,freestyle,100,99,domestic
65-69,female,freestyle,200,200,domestic
65-69,female,freestyle,400,420,domestic
65-69,female,backstroke,100,104,domestic
65-69,female,backstroke,200,210,domestic
65-69,female,breaststroke,100,109,domestic
65-69,female,breaststroke,200,220,domestic
65-69,female,butterfly,100,104,domestic
65-69,female,butterfly,200,215,domestic
70-74,male,freestyle,100,92,domestic
70-74,male,freestyle,200,185,domestic
70-74,male,freestyle,400,390,domestic
70-74,male,backstroke,100,97,domestic
70-74,male,backstroke,200,195,domestic
70-74,male,breaststroke,100,102,domestic
70-74,male,breaststroke,200,205,domestic
70-74,male,butterfly,100,97,domestic
70-74,male,butterfly,200,200,domestic
70-74,female,freestyle,100,102,domestic
70-74,female,freestyle,200,205,domestic
70-74,female,freestyle,400,430,domestic
70-74,female,backstroke,100,107,domestic
70-74,female,backstroke,200,215,domestic
70-74,female,breaststroke,100,112,domestic
70-74,female,breaststroke,200,225,domestic
70-74,female,butterfly,100,107,domestic
70-74,female,butterfly,200,220,domestic
75+,male,freestyle,100,95,domestic
75+,male,freestyle,200,190,domestic
75+,male,freestyle,400,400,domestic
75+,male,backstroke,100,100,domestic
75+,male,backstroke,200,200,domestic
75+,male,breaststroke,100,105,domestic
75+,male,breaststroke,200,210,domestic
75+,male,butterfly,100,100,domestic
75+,male,butterfly,200,205,domestic
75+,female,freestyle,100,105,domestic
75+,female,freestyle,200,210,domestic
75+,female,freestyle,400,440,domestic
75+,female,backstroke,100,110,domestic
75+,female,backstroke,200,220,domestic
75+,female,breaststroke,100,115,domestic
75+,female,breaststroke,200,230,domestic
75+,female,butterfly,100,110,domestic
75+,female,butterfly,200,225,domestic





